cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,1655,315765.23279853817,190.79470259730402,35.8,994.5295480538084,101884453609.06903,61561603.38916558,2816387,1368390484.0293114,12065423741.758242,7290286.248796521,0,72924571.1977948,213195697.88531402,750689.0770609648,49832.95652173913,2542573.3865054613,265,466,5,345
1,63,8685.791304347826,137.8697032436163,54,284.8095992175587,864824073.1706004,13727366.24080318,3159392,28135764.873947985,2498703333.3333335,39661957.67195767,0,282990338.6298622,9009735.399710145,500540.8555394525,49832.95652173913,852638.4766745833,28,9,0,8
2,78,10000.155219367934,128.2071181970248,45.76190476190476,262.4214277428587,4117857215.329013,52793041.22216683,5495922.75,277479660.28791106,463407857.14285713,5941126.373626374,0,26888622.581225045,5111729.733599034,255586.4866799517,28903.4,551398.0445617691,22,29,3,33
3,103,15542.491841682819,150.89797904546424,38.333333333333336,401.22684751739945,2213054281.195074,21485963.895097803,2438672,73839999.32210256,342907875.4578755,3329202.6743483054,0,10303771.235458642,29470344.17178744,982344.805726248,49832.95652173913,3118767.2213211823,14,20,1,13
4,85,22295.634645657858,262.301584066563,44,460.50483347399205,3019396329.6971946,35522309.76114347,5675870.5,60032007.961234145,858398589.7435898,10098806.93815988,0,52007046.00259524,8171938.89384058,326877.5557536232,49832.95652173913,622369.404416189,15,8,0,17
5,54,6191.350617126001,114.65464105788892,34.25,267.98307868800896,1020146980.8713915,18891610.75687762,2586293,48537072.03731599,72506666.66666667,1342716.0493827162,0,7974473.657547297,217524.67874396135,31074.954106280195,12800,31237.350731809274,30,24,0,23
6,228,33279.5840161099,145.9630877899557,47.095238095238095,294.07765957221164,6367394362.146435,27927168.25502822,2913068.3636363638,69199368.93516016,4271986000,18736780.701754387,0,155087160.7591272,162166575.5867633,3603701.6797058512,34338.5,23335048.963692527,13,15,0,21
7,55,9437.438067727306,171.58978304958737,33.5,397.23617406211605,944909053.4341227,17180164.60789314,2416714.3333333335,34468968.672103025,243814761.9047619,4432995.670995671,0,10351357.904139172,66411673.996086955,6641167.399608696,164773.47826086957,19952927.672302775,28,31,0,29
8,142,19783.170826128324,139.3181044093544,37.25,304.91945307264905,2782084359.8335133,19592143.37910925,3730868,52831481.98898879,767725179.4871795,5406515.348501264,0,27103331.571967166,14025559.269275362,609806.9247511027,49832.95652173913,1189253.6378872618,19,22,0,9
9,39,4445.909993259184,113.99769213485088,37.5,252.9144147167678,753213825.3441596,19313175.008824605,3353801.5,37518582.452391535,132007500,3384807.6923076925,0,16304390.426078243,1020498.2065217391,204099.64130434784,249538.25,168012.8595751251,20,9,1,11
10,90,8944.295776411162,99.38106418234624,27.38095238095238,225.42384543488487,1171990436.5090778,13022115.961211974,2997152.6818181816,24577560.687818207,55007142.85714286,611190.4761904762,0,2468279.3336376864,5587740.699855072,429826.20768115943,49832.95652173913,987667.5593605379,11,18,1,13
11,36,4608.488564687756,128.01357124132656,43.5,280.1338866899671,473359317.7846358,13148869.938462105,1985488,28138183.00377387,134835000,3745416.6666666665,0,19483354.044451088,7992595.351521739,999074.4189402174,49916.47826086957,2409732.44826155,201,304,4,270
12,103,17377.160526476284,168.71029637355616,40.333333333333336,361.08967392449114,2060348206.1508486,20003380.642241247,4203845.5,38955200.22457775,131399761.90476191,1275725.8437355524,0,6253795.863931443,2243962.7791304346,131997.81053708438,49832.95652173913,290994.03387772734,15,11,0,9
13,42,12760.899160016657,303.830932381349,76.83333333333333,493.4548663190287,2562880769.628009,61020970.70542878,7659710.25,157452533.29843223,156157666.66666666,3718039.682539683,0,13359795.737895042,3162559.888164251,287505.44437856827,49832.95652173913,736149.3639682748,52,71,1,39
14,61,34623.96696539968,567.6060158262243,33,3432.2765022360672,3696459551.3832192,60597697.56365933,1931074.7142857143,365236360.23411393,576748333.3333334,9454890.710382514,0,46623792.959124036,3384888.920821256,241777.78005866116,53028.97826086957,329532.46751878405,25,42,0,33
15,80,8649.166722037653,108.11458402547065,59.14285714285714,178.89231165245906,1480835021.3969545,18510437.767461933,3327105.5,46614550.98473526,979941666.6666666,12249270.833333334,49999.99999999999,25225374.11308562,63055410.03666667,1616805.3855555556,474845.35,3200855.481251863,7,24,0,4
16,46,5959.079399585921,129.5452043388244,25.75,331.615736758339,573360625.5297275,12464361.424559291,1444809.5,31227996.008304793,190058333.33333334,4131702.8985507246,0,14581608.19209575,4329150.828599034,481016.758733226,49832.95652173913,890856.2130743031,26,42,0,19
17,41,9190.007117389025,224.14651505826888,45.5,407.6565341962572,1340811866.6499977,32702728.454877995,3474944,53918955.788919404,147243333.33333334,3591300.81300813,0,18725442.17050322,10024773.606231883,1002477.3606231883,84966.60326086957,2919616.559774972,5,20,0,12
18,42,4711.036563307493,112.16753722160699,38.19444444444444,178.00963985105074,845052690.5078216,20120302.15494813,3787997,51435897.66788323,753100000,17930952.38095238,172500,65423493.190641925,24410229.22,1284748.9063157896,767712.595,1714357.1746972802,72,98,0,67
19,73,14886.64718624164,203.92667378413205,56,423.1139242866884,3419065376.5769663,46836512.00790365,5888273,106163600.4673463,2950305952.3809524,40415150.03261579,0,264408898.76293772,5509060.799855073,918176.7999758454,467468.6666666667,1107475.9142285578,NA,NA,NA,NA
20,70,14898.17619047619,212.83108843537414,59.58333333333333,826.9214107910626,6412408808.960714,91605840.1280102,5275386.5,322969316.5486978,5065668095.238095,72366687.07482994,0,313678406.82165444,4961211.426666667,826868.5711111111,161992.8,1572098.2147058162,NA,NA,NA,NA
21,39,8253.800414078674,211.63590805329935,51.5,355.1307902062964,6609457818.471015,169473277.3966927,15757500,881032328.5283836,1239420333.3333333,31780008.547008548,0,101933751.85124251,1203551.9731884059,133727.99702093398,21575.8,289140.8940207048,NA,NA,NA,NA
22,1346,672050.9601833255,499.29491841257465,55.33333333333333,7875.844370604971,104675677691.61757,77767962.6237872,5408049.25,779728516.0444127,39762931804.029305,29541554.08917482,0,161454777.80224577,53558546.14055555,328580.03767212,97877.33333333333,601809.6871415419,NA,NA,NA,NA
